Chr	GeneID	Start	Stop	CodingLength	S8_GeneCount	S8_RPKM
chr1	1110058L19Rik	23995939	24005640	667	29	4.69671092527666
chr1	1500015O10Rik	43730602	43742564	888	82	9.97522162733309
chr1	1700001G17Rik	33669824	33670712	889	2	0.243024412331526
chr1	1700007P06Rik	187125138	187127852	823	0	0
chr1	1700009P17Rik	171121661	171126967	1034	28	2.92522421264813
chr1	1700015E13Rik	170308861	170312125	713	0	0
chr1	1700016C15Rik	177729814	177753305	749	5	0.721123840329528
chr1	1700016L21Rik	80445932	80475660	394	0	0
chr1	1700019A02Rik	53158577	53187617	627	0	0
chr1	1700019D03Rik	52925127	52952840	834	3	0.388576803170371
chr1	1700019O17Rik	86426329	86428049	1721	0	0
chr1	1700020N18Rik	91404879	91406029	547	0	0
chr1	1700025G04Rik	151884524	152090320	9754	550	6.09118240770451
chr1	1700027A15Rik	73016036	73025508	571	0	0
chr1	1700034H15Rik	191894072	191907527	4362	5	0.123824336636134
chr1	1700034P13Rik	9747648	9771256	1494	0	0
chr1	1700047M11Rik	182300834	182303289	686	0	0
chr1	1700056E22Rik	184033032	184033998	967	5	0.558554039717494
chr1	1700063A18Rik	95990659	96021758	356	0	0
chr1	1700065J18Rik	192841705	192842739	404	0	0
chr1	1700066B17Rik	39842428	39847330	531	0	0
chr1	1700066M21Rik	57377620	57385422	3007	75	2.69432203062928
chr1	1700067G17Rik	89016113	89022210	603	0	0
chr1	1700084C01Rik	169928939	169934653	1440	26	1.9504396759135
chr1	1700112H15Rik	184527841	184557691	778	0	0
chr1	1810006J02Rik	98131467	98144655	1687	0	0
chr1	2010300C02Rik	37611676	37719811	4361	54	1.33760948617143
chr1	2310007B03Rik	93151355	93160948	2362	16	0.731748357536753
chr1	2310009B15Rik	138851979	138856854	571	47	8.8916716466271
chr1	2310030A07Rik	150320681	150346771	610	0	0
chr1	2310035C23Rik	105663861	105755131	5406	371	7.41343587225042
chr1	2310043L19Rik	177641542	177642943	698	0	0
chr1	2410088K16Rik	88754890	88755733	476	0	0
chr1	2610203C22Rik	9560833	9631092	1245	6	0.520599283283678
chr1	2610207O16Rik	42707063	42713454	461	0	0
chr1	2810025M15Rik	157412352	157420236	1194	140	12.6661718420359
chr1	2810408I11Rik	64679869	64690659	713	20	3.03013608082365
chr1	2810442N19Rik	162004969	162016485	919	5	0.587727700116231
chr1	2810459M11Rik	86045863	86055456	3331	12	0.389160076666574
chr1	2900009J06Rik	127753617	127774054	464	0	0
chr1	2900060B14Rik	118458669	118459265	597	0	0
chr1	2900092D14Rik	42700336	42703176	2841	0	0
chr1	3110009E18Rik	120121187	120188189	1089	16	1.58713463774271
chr1	3110035E14Rik	9601267	9627142	3187	11	0.372848404171633
chr1	3110045C21Rik	169969409	169972396	1135	1	0.0951756398954742
chr1	3110079O15Rik	87470264	87475459	462	2	0.467637884334906
chr1	4930440C22Rik	94797442	94802472	1565	0	0
chr1	4930444P10Rik	16065979	16093041	717	41	6.17712468972928
chr1	4930448I06Rik	41167560	41181252	573	0	0
chr1	4930452N14Rik	154241521	154256906	613	0	0
chr1	4930469G21Rik	161156843	161159314	954	0	0
chr1	4930486I03Rik	20356454	20392300	786	0	0
chr1	4930487H11Rik	62790918	62794732	895	0	0
chr1	4930488B22Rik	184712497	184718989	1722	0	0
chr1	4930503O07Rik	194212187	194222759	578	0	0
chr1	4930521E06Rik	44739675	44744949	906	0	0
chr1	4930523C07Rik	160044380	160078586	5390	352	7.05465151225229
chr1	4930532M18Rik	154255689	154270416	481	0	0
chr1	4930533P14Rik	96612057	96662573	583	0	0
chr1	4930558J18Rik	57359222	57377544	2052	4	0.210573784174197
chr1	4930558K02Rik	161942089	161979636	1164	0	0
chr1	4930562F07Rik	160074735	160077985	887	0	0
chr1	4930568G15Rik	165066617	165091930	998	0	0
chr1	4930590L20Rik	140570176	140656402	551	0	0
chr1	4930594C11Rik	37485851	37488605	2755	2	0.0784205816924597
chr1	4930596I21Rik	138977657	138979246	460	0	0
chr1	4930598F16Rik	95701184	95716518	761	0	0
chr1	4931408C20Rik	26681801	26687460	4331	0	0
chr1	4931428L18Rik	31141078	31222656	1094	3	0.296227654336462
chr1	4931440L10Rik	134540941	134549682	1832	0	0
chr1	4933400F21Rik	89676507	89683892	3611	0	0
chr1	4933402D24Rik	63754909	63769267	1756	1	0.0615172843287946
chr1	4933406M09Rik	134385940	134390983	1770	0	0
chr1	4933407L21Rik	85928483	85931756	1148	0	0
chr1	4933415F23Rik	23100474	23102253	1780	0	0
chr1	4933417E11Rik	71958998	72005195	1093	0	0
chr1	4933424G06Rik	36714538	36757960	1127	6	0.575107460237959
chr1	4933436E23Rik	139379452	139402852	1111	0	0
chr1	4933439K11Rik	172541620	172550806	941	2	0.229594795497053
chr1	5033404E19Rik	185497306	185498014	709	0	0
chr1	5430435G22Rik	131688695	131713464	2523	129	5.52324269333962
chr1	5730559C18Rik	136213522	136234280	3013	139	4.98353296651493
chr1	5830403L16Rik	153849542	153851195	1654	0	0
chr1	6030407O03Rik	73618381	73864466	1801	2	0.119960412305789
chr1	6330403A02Rik	180432373	180483504	6557	8	0.13179728690726
chr1	6430706D22Rik	88263113	88269408	3638	0	0
chr1	6720483E21Rik	20888650	20890473	1120	3	0.289350940932223
chr1	7420461P10Rik	162647243	162658219	741	0	0
chr1	9130024F11Rik	56971469	56975196	3728	1	0.0289764890776189
chr1	9130227L01Rik	55931241	55972098	1906	0	0
chr1	9130409I23Rik	181051237	181060667	1898	6	0.341488992459526
chr1	9230116N13Rik	136411916	136415519	2097	5	0.257568791801057
chr1	9330162B11Rik	188006576	188008990	2212	0	0
